name	path	filter	prompt	titel	autor	projektuebersicht
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/01_Szenen_Knauer_Sarah_monolith_05.jpg	Szenen	monolith from the movie 2001- a space odyssey made of rattan, floating in dark space, 8k high resolution photography	titel	Sarah Knauer	knauer
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/023/01_Szenen_Knauer_Sarah_spaceship_08.jpg	Szenen	long spaceship floating in dark space, materials rattan bamboo and jute, 8k high resolution photography	titel	Sarah Knauer	knauer
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/025/01_Szenen_Knauer_Sarah_spaceship_03.jpg	Szenen	cockpit of a spaceship made of rattan, floating in dark space, 8k high resolution photography	titel	Sarah Knauer	knauer
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szenen_Knauer_Sarah_Djinn_Chair_01.jpg	Szenen	djinn chair from the movie 2001 a space odyssey, in a spaceship interior, floating in dark space, made of rattan, 8k high resolution photography	titel	Sarah Knauer	knauer
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/050/01_Szenen_Knauer_Sarah_cockpit_10.jpg	Szenen	cockpit of a spaceship made out of rattan, floating in dark space, 8k high resolution photography	titel	Sarah Knauer	knauer
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/056/01_Szenen_Knauer_Sarah_spaceship_02.jpg	Szenen	big spaceship floating in dark space, made out of rattan, 8k high resolution photography	titel	Sarah Knauer	knauer
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/069/01_Szenen_Knauer_Sarah_uhr_11.jpg	Szenen	rectangular wristwatch, geometrical , made out of rough rattan, 8k high resolution photography	titel	Sarah Knauer	knauer
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/072/01_Szenen_Knauer_Sarah_HAL_04.jpg	Szenen	hal computer from the movie 2001 a space odyssey made of rattan rattan, in a spaceship interior made of rattan, floating in dark space, 8k high resolution photography	titel	Sarah Knauer	knauer
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/098/01_Szenen_Knauer_Sarah_spacesuit_09.jpg	Szenen	spacesuit made of rattan, brown, floating in dark space, no clear background, 8k high resolution photography	titel	Sarah Knauer	knauer
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/031/01_Szenen_Knauer_Sarah_Innenraum_06.jpg	Szenen	spaceship interior with furniture, completely made of rattan, floating in dark space, bamboo and jute, 8k high resolution photography	titel	Sarah Knauer	knauer
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/021/01_Szenen_Knauer_Sarah_Knauer_spaceship_07.jpg	Szenen	spaceship made out of rattan, floating in dark space, 8k high resolution photography	titel	Sarah Knauer	knauer
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szenen_Knauer_Sarah_Djinn_Chair_01_01.jpg	Szenen	djinn chair from the movie 2001 a space odyssey, made out of rough rattan, in a spaceship in dark space, 8k high resolution photography	Djinn Chair	Sarah Knauer	knauer
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szenen_Knauer_Sarah_Djinn_Chair_01_02.jpg	Szenen	djinn chair from the movie 2001 a space odyssey, made out of rough rattan, in a spaceship in dark space, 8k high resolution photography	Djinn Chair	Sarah Knauer	Knauer
