name	path	filter	prompt	titel	autor	projektuebersicht
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/24cb1eb6567d228de45eb66904304d3bb036c731/Timecodes/114/114_Objekte_N%C3%B5ulik_Romy.jpg	Objekte	prompt eingeben	Titel der Arbeit	Nõulik Romy	noulik					
18  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/128/01_Szenen_Schlotthauer_Jana_128_01.jpg  Szenen  an eerie prehistoric landscape. pink. high contrast. viewed from a kaleidoscope.  Wahrnehmung  Jana Schlotthauer  schlotthauer
19  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/128/01_Szenen_Schlotthauer_Jana_128_02.jpg  Szenen  an eerie prehistoric landscape. pink. high contrast. deformed. on acid.  Wahrnehmung  Jana Schlotthauer  schlotthauer
20  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/128/01_Szenen_Schlotthauer_Jana_128_03.jpg  Szenen  deformed, distorted, disfigured, misshapen, warped, time warp, impaired something inspired by 2001: a space odyssey. astronauts shoes.  Wahrnehmung  Jana Schlotthauer  schlotthauer
21  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/128/01_Szenen_Schlotthauer_Jana_128_04.jpg  Szenen  oil spill small objects sticking to each other in a weird glue, pixelated and disfigured inspired by 2001: a space odyssey. disfigured, misshapen, time warp, hot pink.  Wahrnehmung  Jana Schlotthauer  schlotthauer
22  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/128/01_Szenen_Schlotthauer_Jana_128_05.jpg  Szenen  concept of a prehistoric landscape, weird, foggy, kaleidoscopic.  Wahrnehmung  Jana Schlotthauer  schlotthauer
23  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/128/01_Szenen_Schlotthauer_Jana_128_06.jpg  Szenen  The room in the last scene of 2001: a space odyssey, kaleidoscopic, organic patterns.  Wahrnehmung  Jana Schlotthauer  schlotthauer
24  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/128/01_Szenen_Schlotthauer_Jana_128_07.jpg  Szenen  concept of a prehistoric landscape, weird, foggy, kaleidoscopic.  Wahrnehmung  Jana Schlotthauer  schlotthauer
25  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/128/01_Szenen_Schlotthauer_Jana_128_08.jpg  Szenen  a strange scene. Heavily inspired by the movie "2001: a space odyssey", prehistoric look, neon yellow, strings of light, eyes, acid trip, microscopic, strange, toxic colors. heaven. concept of a different planet. microscopic. kaleidoscopic.  Wahrnehmung  Jana Schlotthauer  schlotthauer
26  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/128/01_Szenen_Schlotthauer_Jana_128_09.jpg  Szenen  A prehistoric landscape with no form of life, viewed through a kaleidoscope, somewhere in the universe, eerie feeling.  Wahrnehmung  Jana Schlotthauer  schlotthauer
27  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/128/01_Szenen_Schlotthauer_Jana_128_10.jpg  Szenen  light tunnel, weird, unidentifiable patterns, deformed, disfigured, light going into all directions, sucking you in, misshapen, time warp, warped, explosion to other dimensions, fast motion, motion blur, angelic, ethereal. 2001: a space odyssey seat.  Wahrnehmung  Jana Schlotthauer  schlotthauer
